Address,latitude,longtitude,bedrooms,Baths,Space,Price,Description,School Index,Hos Index,Market Index,Crime Index,County
5222 Camden Lake Pkwy NW,34.008846,-84.709327,5,2.5,"3,794","$250,000 ","5 bed, 2.5 bath townhouse in 5222 Camden Lake Pkwy NW",33.51815063,37.11160621,43.17461562,0.454589874,Cobb
3851 Rockhaven Ct,34.044788,-84.489311,5,4.5,"7,146","$939,900 ","5 bed, 4.5 bath townhouse in 3851 Rockhaven Ct",20.14526093,24.38394404,28.3606097,0.649673153,Cobb
1686 Pennington Ter,33.990516,-84.446586,5,4.5,"3,793","$499,900 ","5 bed, 4.5 bath townhouse in 1686 Pennington Ter",16.64871076,19.28480917,21.67350588,0.830158313,Cobb
1949 W Village Pt SE,33.841835,-84.495117,5,4,"3,924","$500,000 ","5 bed, 4 bath townhouse in 1949 W Village Pt SE",16.38254546,11.7102261,14.84439683,1.514217425,Cobb
1009 Crest Ridge Pl SW,33.885471,-84.584519,5,3,"3,003","$175,000 ","5 bed, 3 bath townhouse in 1009 Crest Ridge Pl SW",19.90687248,18.99829611,25.60222474,0.82081885,Cobb
1443 Brentwood Ct,33.985914,-84.507978,4,3.5,"3,442","$350,000 ","4 bed, 3.5 bath townhouse in 1443 Brentwood Ct",20.02203453,19.91726924,25.09135541,0.765319671,Cobb
1885 Martin Rd SW,33.907463,-84.574394,2,1,"1,026","$69,900 ","2 bed, 1 bath townhouse in 1885 Martin Rd SW",19.63877598,19.25945552,25.67895396,0.807035185,Cobb
5514 Vinings Lake Ln SW,33.817095,-84.554094,4,3,"2,973","$300,000 ","4 bed, 3 bath townhouse in 5514 Vinings Lake Ln SW",18.95369429,17.48372872,19.79535566,1.147428627,Cobb
3516 Parkview Dr,34.035945,-84.43502,3,3,"2,068","$224,900 ","3 bed, 3 bath townhouse in 3516 Parkview Dr",18.58145008,22.39094575,24.92982744,0.703251237,Cobb
3092 Wren Cir NW,34.031191,-84.637446,3,3,"2,041","$198,000 ","3 bed, 3 bath townhouse in 3092 Wren Cir NW",27.15586278,29.2688778,37.98106647,0.51321635,Cobb
195 Stewart Ave NW,33.958839,-84.557991,3,1.5,864,"$245,000 ","3 bed, 1.5 bath townhouse in 195 Stewart Ave NW",18.37264597,15.57301369,27.08611284,0.73724649,Cobb
1373 Willowbrook Dr SW,33.916625,-84.615078,3,2.5,"2,060","$229,900 ","3 bed, 2.5 bath townhouse in 1373 Willowbrook Dr SW",23.96337736,22.88027246,29.94393685,0.684037241,Cobb
700 Stone House Ln NW,33.970915,-84.605755,5,3.5,"3,439","$369,000 ","5 bed, 3.5 bath townhouse in 700 Stone House Ln NW",25.23916038,19.86488814,31.8327344,0.626361513,Cobb
621 Foxcroft Cir SE,33.935829,-84.464515,4,2.5,"2,650","$269,900 ","4 bed, 2.5 bath townhouse in 621 Foxcroft Cir SE",17.78677577,15.37265634,18.4887415,1.032233169,Cobb
2275 W Village Ln SE,33.841121,-84.490036,3,2.5,"2,416","$335,000 ","3 bed, 2.5 bath townhouse in 2275 W Village Ln SE",16.45704488,12.01859015,14.30415216,1.568906636,Cobb
4887 Oglesby Rd,33.843201,-84.694958,4,4,"2,339","$194,900 ","4 bed, 4 bath townhouse in 4887 Oglesby Rd",30.70046414,32.52788964,35.66326227,0.575581206,Cobb
1770 Cedar Dr,34.007652,-84.499534,3,2,"1,373","$159,900 ","3 bed, 2 bath townhouse in 1770 Cedar Dr",19.33568021,21.59554227,26.1175914,0.722032531,Cobb
2008 Grove Park Ct,34.009071,-84.490783,3,3,"2,258","$290,000 ","3 bed, 3 bath townhouse in 2008 Grove Park Ct",19.25847135,21.57516318,25.67849506,0.728969802,Cobb
679 Braidwood Ter NW,33.97116,-84.730003,4,2.5,"3,264","$329,900 ","4 bed, 2.5 bath townhouse in 679 Braidwood Ter NW",34.04556474,38.28706925,43.46749076,0.4549245,Cobb
969 Pine Hollow Rd,33.776523,-84.582184,3,2.5,"1,900","$79,900 ","3 bed, 2.5 bath townhouse in 969 Pine Hollow Rd",21.71725236,21.75612082,21.81425182,1.032194835,Cobb
2031 Panstone Ct SW,33.902469,-84.556282,3,1,900,"$100,000 ","3 bed, 1 bath townhouse in 2031 Panstone Ct SW",17.43749372,17.68363437,23.76281085,0.876688101,Cobb
888 Red Apple Dr,34.013179,-84.525215,3,2,"1,954","$149,900 ","3 bed, 2 bath townhouse in 888 Red Apple Dr",21.45786752,22.30809056,28.21020629,0.677224809,Cobb
1176 Ward Creek Dr SW,33.92456,-84.599319,5,2.5,"4,720","$418,000 ","5 bed, 2.5 bath townhouse in 1176 Ward Creek Dr SW",23.07811649,21.6023631,28.83364231,0.708888921,Cobb
6021 Blackhawk Trl SE,33.806232,-84.535301,3,2,"1,200","$39,000 ","3 bed, 2 bath townhouse in 6021 Blackhawk Trl SE",18.88718067,16.14105649,17.39264731,1.35844409,Cobb
2409 Caneridge Pointe SW,33.901931,-84.617477,4,2.5,"2,105","$220,000 ","4 bed, 2.5 bath townhouse in 2409 Caneridge Pointe SW",23.06991377,22.66814188,29.52806067,0.698600679,Cobb
1902 Harold Ave SE,33.90644,-84.532325,3,1,935,"$139,900 ","3 bed, 1 bath townhouse in 1902 Harold Ave SE",16.16365092,15.76085695,21.84375071,0.948114425,Cobb
923 Tyrell Dr,33.851567,-84.580972,4,3,"1,690","$170,000 ","4 bed, 3 bath townhouse in 923 Tyrell Dr",20.10597506,17.70288841,23.85172047,0.904375412,Cobb
717 Peteywood Dr,33.854878,-84.579716,4,3,"1,790","$145,800 ","4 bed, 3 bath townhouse in 717 Peteywood Dr",20.0095252,17.70676909,23.85135083,0.902768286,Cobb
86 Hazel St SW,33.949874,-84.563636,5,3,"3,000","$375,000 ","5 bed, 3 bath townhouse in 86 Hazel St SW",18.65558308,18.04276929,27.02469929,0.744060211,Cobb
5816 Fairwood Cir NW,33.980712,-84.723548,4,2.5,"2,724","$275,000 ","4 bed, 2.5 bath townhouse in 5816 Fairwood Cir NW",33.43188581,37.78471854,43.24040149,0.456589216,Cobb
1971 Tristan Dr SE,33.849933,-84.499862,3,2.5,"3,071","$361,000 ","3 bed, 2.5 bath townhouse in 1971 Tristan Dr SE",16.83514513,10.46760578,15.67857913,1.40667807,Cobb
3506 Clear Creek Xing NW,34.03738,-84.647338,3,2.5,"1,665","$150,000 ","3 bed, 2.5 bath townhouse in 3506 Clear Creek Xing NW",22.29215906,31.12737821,39.17512532,0.496897912,Cobb
4214 W Mill Trl NW,33.982429,-84.676788,3,3,"2,028","$189,900 ","3 bed, 3 bath townhouse in 4214 W Mill Trl NW",28.84077212,31.61169093,38.86010668,0.509792812,Cobb
2964 Montview Dr SW,33.881717,-84.574753,4,2.5,"2,295","$239,900 ","4 bed, 2.5 bath townhouse in 2964 Montview Dr SW",17.4311296,18.38678367,24.488923,0.862906608,Cobb
2265 Wilderness Way,34.006389,-84.50449,4,3,"2,119","$260,000 ","4 bed, 3 bath townhouse in 2265 Wilderness Way",19.77642662,21.55198838,26.34161228,0.718859855,Cobb
801 Ivy Green Ln SE,33.926946,-84.477229,2,2,"1,286","$109,900 ","2 bed, 2 bath townhouse in 801 Ivy Green Ln SE",17.8636957,14.38155663,18.72745203,1.043665011,Cobb
3343 Caley Mill Dr,33.872037,-84.649159,3,2,"1,430","$133,500 ","3 bed, 2 bath townhouse in 3343 Caley Mill Dr",25.41021693,26.18130751,31.59641031,0.655128791,Cobb
1940 Sharpshooters Ct NW,33.974124,-84.608032,6,4,"6,115","$557,500 ","6 bed, 4 bath townhouse in 1940 Sharpshooters Ct NW",25.43953601,18.81331194,32.20855806,0.618151562,Cobb
1675 Fair Oak Way,33.81351,-84.505592,3,2.5,"1,960","$219,000 ","3 bed, 2.5 bath townhouse in 1675 Fair Oak Way",16.78760462,13.6502877,14.63023495,1.668998569,Cobb
3390 Cypress Club Trl,33.83609,-84.63697,4,3.5,"2,345","$168,700 ","4 bed, 3.5 bath townhouse in 3390 Cypress Club Trl",24.24318527,24.60554271,29.23250362,0.721073682,Cobb
117 Shirley Ln SE,34.08427,-84.720703,4,2.5,"2,952","$172,900 ","4 bed, 2.5 bath townhouse in 117 Shirley Ln SE",41.44515328,42.54157644,48.14109675,0.400558932,Cobb
2455 Natoma Ct SE,33.836513,-84.489494,3,3.5,"1,890","$279,900 ","3 bed, 3.5 bath townhouse in 2455 Natoma Ct SE",16.75913446,12.26159735,14.0694198,1.621640718,Cobb
249 Saint Martins Dr SE,33.824401,-84.547164,4,2.5,"2,347","$369,900 ","4 bed, 2.5 bath townhouse in 249 Saint Martins Dr SE",19.18240418,16.47540882,19.33850828,1.173598822,Cobb
2914 Torreya Way SE,33.911506,-84.468575,3,2.5,"1,944","$164,900 ","3 bed, 2.5 bath townhouse in 2914 Torreya Way SE",17.73249585,12.51489321,16.89484759,1.155342928,Cobb
210 Mill Creek Ct,34.040638,-84.746864,4,3,"1,894","$350,000 ","4 bed, 3 bath townhouse in 210 Mill Creek Ct",41.61712716,42.99613504,48.218007,0.403464078,Cobb
245 Picketts Trce,34.031803,-84.75724,4,3.5,"2,432","$369,000 ","4 bed, 3.5 bath townhouse in 245 Picketts Trce",42.51079926,43.76621862,48.77123527,0.399411913,Cobb
3079 Lee St SE,33.878368,-84.513984,3,2,"2,295","$225,000 ","3 bed, 2 bath townhouse in 3079 Lee St SE",16.95026417,10.1350912,18.60208247,1.142242798,Cobb
5020 Hopeland Dr,33.876571,-84.699527,5,4,"2,206","$199,000 ","5 bed, 4 bath townhouse in 5020 Hopeland Dr",30.38124089,32.99502485,37.01186942,0.549713957,Cobb
1946 Oakbluff Dr,33.828807,-84.610412,4,2.5,"1,975","$189,900 ","4 bed, 2.5 bath townhouse in 1946 Oakbluff Dr",20.97509565,20.81957449,26.18156935,0.819958731,Cobb
112 Bluestone Ct,34.063999,-84.748214,4,3,"2,595","$334,900 ","4 bed, 3 bath townhouse in 112 Bluestone Ct",43.30680377,44.29799642,49.50898482,0.391103178,Cobb
3452 Valley Vista Rd SE,33.868858,-84.484298,5,3,"2,885","$400,000 ","5 bed, 3 bath townhouse in 3452 Valley Vista Rd SE",16.53611592,11.53303733,14.70286106,1.373511398,Cobb
5224 Afton Way SE,33.887825,-84.481796,2,2.5,"1,280","$147,000 ","2 bed, 2.5 bath townhouse in 5224 Afton Way SE",17.33988401,11.04036803,16.33850644,1.251606149,Cobb
1722 Smithwood Dr,33.992468,-84.493224,3,2.5,"2,402","$239,000 ","3 bed, 2.5 bath townhouse in 1722 Smithwood Dr",19.92206338,20.32115606,24.58724761,0.769584046,Cobb
2171 Shillings Chase Dr NW,34.003029,-84.631429,4,2.5,"2,216","$219,500 ","4 bed, 2.5 bath townhouse in 2171 Shillings Chase Dr NW",26.32238406,23.91804651,35.84954309,0.549081031,Cobb
4405 Thorngate Ln,34.060771,-84.626314,2,2,"1,478","$129,900 ","2 bed, 2 bath townhouse in 4405 Thorngate Ln",29.13749216,31.48539498,38.88187994,0.495916346,Cobb
1631 Lucy Dr NW,33.992248,-84.585075,3,2,"1,877","$194,000 ","3 bed, 2 bath townhouse in 1631 Lucy Dr NW",24.96044847,21.74907407,31.32262168,0.628674839,Cobb
1908 Brenda Dr,33.81174,-84.60958,3,1,"1,000","$79,900 ","3 bed, 1 bath townhouse in 1908 Brenda Dr",22.94399724,22.38695537,25.64118652,0.843786004,Cobb
729 Lowell Dr SW,33.91566,-84.575153,4,3,"1,824","$154,900 ","4 bed, 3 bath townhouse in 729 Lowell Dr SW",20.22947883,19.51565317,26.16280433,0.787388745,Cobb
286 River Cliff Gate SE,33.945346,-84.433914,5,4,"4,657","$649,000 ","5 bed, 4 bath townhouse in 286 River Cliff Gate SE",18.65874873,15.80262451,17.34551014,1.039397258,Cobb
615 Laura Dr,34.005878,-84.533676,4,2,"1,458","$230,000 ","4 bed, 2 bath townhouse in 615 Laura Dr",21.87017992,21.56325048,28.28397218,0.680803334,Cobb
2508 Blaydon Pointe NW,34.016853,-84.646469,4,2.5,"2,097","$245,000 ","4 bed, 2.5 bath townhouse in 2508 Blaydon Pointe NW",28.25086779,28.87101104,37.92574763,0.516732108,Cobb
747 Golf Crest Dr,34.049664,-84.752159,5,2.5,"2,569","$325,000 ","5 bed, 2.5 bath townhouse in 747 Golf Crest Dr",42.88840542,44.01403012,49.15207752,0.395013796,Cobb
2466 Stonegate Dr NW,34.062039,-84.623732,2,2,"1,468","$139,000 ","2 bed, 2 bath townhouse in 2466 Stonegate Dr NW",28.82468372,31.41135554,38.75916428,0.49711278,Cobb
1518 Barksdale Ct NW,33.993476,-84.671714,4,3.5,"3,076","$399,000 ","4 bed, 3.5 bath townhouse in 1518 Barksdale Ct NW",29.26943115,31.29708085,38.93428339,0.507190923,Cobb
1978 Willeo Creek Pt,33.997962,-84.391525,5,4.5,"4,518","$539,900 ","5 bed, 4.5 bath townhouse in 1978 Willeo Creek Pt",20.13388098,18.43245144,19.77377791,0.82219721,Cobb
3156 Mosley Chase Dr,33.833759,-84.64682,3,4.5,"2,188","$155,000 ","3 bed, 4.5 bath townhouse in 3156 Mosley Chase Dr",23.77906844,26.21039673,30.23254609,0.694284624,Cobb
4650 Bishop Lake Rd,34.00166,-84.418939,3,3.5,"3,127","$650,000 ","3 bed, 3.5 bath townhouse in 4650 Bishop Lake Rd",19.43335781,19.42868325,21.23271674,0.808315797,Cobb
620 Tomahawk Pl,33.781352,-84.575881,4,3,"2,770","$209,900 ","4 bed, 3 bath townhouse in 620 Tomahawk Pl",20.28969275,20.96120158,21.18398459,1.069846851,Cobb
3907 Butterstream Way NW,34.051214,-84.631387,6,4.5,"5,727","$499,900 ","6 bed, 4.5 bath townhouse in 3907 Butterstream Way NW",28.67347238,30.91831011,38.68959957,0.500210405,Cobb
1315 Vinings Forest Ln SE,33.877418,-84.506003,2,2,"1,187","$165,000 ","2 bed, 2 bath townhouse in 1315 Vinings Forest Ln SE",16.87482138,5.13155895,17.79455262,1.18930442,Cobb
1427 Livingston Dr SW,33.920467,-84.598129,5,3.5,"2,872","$295,000 ","5 bed, 3.5 bath townhouse in 1427 Livingston Dr SW",22.82049194,21.43613732,28.52318064,0.718413347,Cobb
183 Applewood Ln,34.059532,-84.758598,5,6.5,"6,936","$689,000 ","5 bed, 6.5 bath townhouse in 183 Applewood Ln",44.32099655,45.19616799,50.23640788,0.385684795,Cobb
316 Four Oaks Dr,33.831199,-84.749107,5,3,"2,870","$214,900 ","5 bed, 3 bath townhouse in 316 Four Oaks Dr",38.85619429,39.23289794,41.34065324,0.489232696,Cobb
2852 Golden Club Bnd,33.847597,-84.64111,3,2,"1,463","$140,000 ","3 bed, 2 bath townhouse in 2852 Golden Club Bnd",24.45051368,24.95635433,29.99469876,0.698517368,Cobb
3379 Thornbridge Dr,33.874202,-84.707595,3,2.5,"1,612","$140,000 ","3 bed, 2.5 bath townhouse in 3379 Thornbridge Dr",31.97073726,34.01126142,37.79865788,0.53736475,Cobb
181 Estates View Dr,34.059761,-84.764862,4,3.5,"5,038","$469,900 ","4 bed, 3.5 bath townhouse in 181 Estates View Dr",45.11499943,45.88621148,50.82744822,0.381118714,Cobb
2236 Clearwater Dr SE,33.94308,-84.487686,4,3,"1,432","$232,900 ","4 bed, 3 bath townhouse in 2236 Clearwater Dr SE",16.40233356,16.3245179,20.64237417,0.944482834,Cobb
4804 Estuary Ln,34.070604,-84.634786,3,2,"1,142","$155,000 ","3 bed, 2 bath townhouse in 4804 Estuary Ln",31.74402131,33.14322891,40.17328564,0.479058488,Cobb
3146 Nectar Dr,33.879887,-84.694255,3,2.5,"1,812","$162,500 ","3 bed, 2.5 bath townhouse in 3146 Nectar Dr",29.15653108,32.33042913,36.55389742,0.556965824,Cobb
4424 Sullivan Rd,33.814399,-84.682426,4,2.5,"2,492","$250,000 ","4 bed, 2.5 bath townhouse in 4424 Sullivan Rd",30.68259453,31.38386813,33.71258985,0.615156316,Cobb
1635 Willow Wind Ct,34.041233,-84.503585,5,4.5,"3,790","$585,000 ","5 bed, 4.5 bath townhouse in 1635 Willow Wind Ct",20.42385855,24.42479313,28.9080863,0.644485425,Cobb
2228 Duck Hollow Dr NW,34.010127,-84.663775,4,2.5,"2,619","$215,000 ","4 bed, 2.5 bath townhouse in 2228 Duck Hollow Dr NW",28.97452955,31.02841215,39.07842341,0.502737272,Cobb
3992 Paloverde Dr NW,34.047881,-84.618489,3,2.5,"1,616","$185,000 ","3 bed, 2.5 bath townhouse in 3992 Paloverde Dr NW",27.45529334,29.48607117,37.44939887,0.516516792,Cobb
2913 Gant Quarters Cir,33.947734,-84.464553,6,3,"3,500","$429,000 ","6 bed, 3 bath townhouse in 2913 Gant Quarters Cir",18.05921807,16.38891913,19.40181364,0.975361073,Cobb
2262 Norbury Dr SE,33.850204,-84.487747,4,2.5,"3,375","$474,900 ","4 bed, 2.5 bath townhouse in 2262 Norbury Dr SE",16.51163136,11.73246731,14.27445064,1.503690496,Cobb
98 Yosemite Dr,33.819831,-84.730812,4,3,"2,537","$229,000 ","4 bed, 3 bath townhouse in 98 Yosemite Dr",36.74716992,37.16005297,39.14408929,0.52014577,Cobb
4100 Glenaire Way NW,34.055912,-84.611953,3,2,"2,104","$195,000 ","3 bed, 2 bath townhouse in 4100 Glenaire Way NW",28.30787205,29.9215909,37.44791677,0.514629699,Cobb
3730 Somerset Rdg NW,34.049816,-84.629478,6,3.5,"4,092","$415,000 ","6 bed, 3.5 bath townhouse in 3730 Somerset Rdg NW",28.35957233,30.59784158,38.4492534,0.503456622,Cobb
239 Hanson Way,33.956272,-84.579223,5,4.5,"4,674","$845,000 ","5 bed, 4.5 bath townhouse in 239 Hanson Way",21.79483349,19.99902628,28.7180106,0.698669715,Cobb
272 Old Mountain Vw,33.960258,-84.696609,4,3.5,"3,991","$350,000 ","4 bed, 3.5 bath townhouse in 272 Old Mountain Vw",29.0713631,33.71514396,39.74010458,0.500887829,Cobb
4620 Old Cowan Rd,34.066879,-84.659912,3,2,"1,651","$170,000 ","3 bed, 2 bath townhouse in 4620 Old Cowan Rd",32.9225237,35.12956078,41.97301586,0.460139696,Cobb
1526 Greenbrook Dr,33.804175,-84.598714,4,2,"2,082","$169,900 ","4 bed, 2 bath townhouse in 1526 Greenbrook Dr",21.7820193,21.86516266,24.26378954,0.902393846,Cobb
2542 Stockbridge Rd,34.010231,-84.424995,4,3,"3,287","$419,500 ","4 bed, 3 bath townhouse in 2542 Stockbridge Rd",19.22274388,20.21619873,22.25717978,0.778662401,Cobb
4485 King Springs Rd SE,33.845245,-84.519757,4,3,"3,012","$300,000 ","4 bed, 3 bath townhouse in 4485 King Springs Rd SE",17.23832906,10.11193866,17.46722852,1.282898009,Cobb
3272 Hembree Ct,34.029067,-84.44477,4,3,"2,788","$259,000 ","4 bed, 3 bath townhouse in 3272 Hembree Ct",19.33130964,22.10893568,24.78100331,0.716397818,Cobb
2759 Northgate Ct NW,34.063197,-84.62724,3,2,"1,316","$169,000 ","3 bed, 2 bath townhouse in 2759 Northgate Ct NW",29.81118537,31.80476707,39.1086135,0.492727828,Cobb
148 Weatherstone Pkwy,33.953819,-84.483969,4,2.5,"2,840","$300,000 ","4 bed, 2.5 bath townhouse in 148 Weatherstone Pkwy",17.03616034,17.18069279,21.15016617,0.910649059,Cobb
170 Lilyfield Ln,34.035186,-84.778945,5,4.5,"3,600","$354,900 ","5 bed, 4.5 bath townhouse in 170 Lilyfield Ln",45.5674265,46.34533072,50.99323812,0.38134294,Cobb
194 Lilyfield Ln,34.035179,-84.778518,5,3,"2,650","$299,900 ","5 bed, 3 bath townhouse in 194 Lilyfield Ln",45.51194647,46.29739546,50.95205178,0.381660317,Cobb
146 Lilyfield Ln,34.03519,-84.779365,5,4.5,"3,600","$314,900 ","5 bed, 4.5 bath townhouse in 146 Lilyfield Ln",45.62181081,46.3923551,51.03362876,0.381032342,Cobb
1872 Heatherbrooke Ln NW,33.999477,-84.710205,5,4,"3,590","$389,990 ","5 bed, 4 bath townhouse in 1872 Heatherbrooke Ln NW",32.58206674,36.81248192,42.81010929,0.459530434,Cobb
3117 Soldier Trl,33.965341,-84.458632,5,3.5,"4,574","$494,900 ","5 bed, 3.5 bath townhouse in 3117 Soldier Trl",18.7044702,17.67467215,20.3765518,0.910223552,Cobb
1878 Acworth Due West Rd NW,34.001182,-84.675031,4,3.5,"2,094","$265,000 ","4 bed, 3.5 bath townhouse in 1878 Acworth Due West Rd NW",29.55429381,32.17828195,39.62765223,0.497060136,Cobb
4691 Wehunt Commons Dr SE,33.841228,-84.507298,4,3,"2,382","$299,000 ","4 bed, 3 bath townhouse in 4691 Wehunt Commons Dr SE",17.28883517,10.73644832,16.04657691,1.409673859,Cobb
2000 Augustine Trce,33.904731,-84.674819,4,3.5,"2,328","$325,000 ","4 bed, 3.5 bath townhouse in 2000 Augustine Trce",26.78904706,29.98063539,35.36571115,0.574503012,Cobb
1376 Dolcetto Trce NW,33.998847,-84.594551,3,2.5,"1,604","$169,900 ","3 bed, 2.5 bath townhouse in 1376 Dolcetto Trce NW",25.74189458,22.06082132,32.49706812,0.604900254,Cobb
522 Donwood Ln SW,33.875075,-84.570021,3,2,"1,753","$190,000 ","3 bed, 2 bath townhouse in 522 Donwood Ln SW",18.84676536,17.91624724,23.73248231,0.896467803,Cobb
466 Williamson St SE,33.944622,-84.526684,4,3.5,"2,240","$240,000 ","4 bed, 3.5 bath townhouse in 466 Williamson St SE",15.19215294,17.26193562,23.68458969,0.843656195,Cobb
3772 Swallow Way NE,34.042226,-84.46007,4,2.5,"2,892","$325,000 ","4 bed, 2.5 bath townhouse in 3772 Swallow Way NE",20.04232776,23.48334918,26.61753299,0.675888237,Cobb
4647 S Main St,34.063671,-84.672584,&nbsp;,&nbsp;,875,"$155,000 ","NA bed, NA bath townhouse in 4647 S Main St",31.98504762,36.16943219,42.83962308,0.451586676,Cobb
4637 S Main St,34.063568,-84.672104,&nbsp;,&nbsp;,"2,520","$175,000 ","NA bed, NA bath townhouse in 4637 S Main St",32.1204734,36.11134662,42.79314665,0.452078,Cobb
1013 Vinings Forest Ln SE,33.87775,-84.505883,2,2,"1,412","$178,900 ","2 bed, 2 bath townhouse in 1013 Vinings Forest Ln SE",16.8733978,5.396552039,17.80310821,1.188120715,Cobb
313 Maplelake Dr,34.021938,-84.740447,4,3,"1,624","$126,900 ","4 bed, 3 bath townhouse in 313 Maplelake Dr",39.52384498,41.41585487,46.72120565,0.418133332,Cobb
118 Mayes Farm Rd NW,33.956304,-84.679281,4,2.5,"3,135","$315,000 ","4 bed, 2.5 bath townhouse in 118 Mayes Farm Rd NW",27.69062223,31.26754772,37.88899789,0.527062992,Cobb
3447 Ebenezer Rd,34.034891,-84.505671,3,3,"3,525","$425,000 ","3 bed, 3 bath townhouse in 3447 Ebenezer Rd",20.99531204,23.94148978,28.54916596,0.655099132,Cobb
806 Smithstone Rd SE,33.932212,-84.477749,4,2,"1,874","$225,000 ","4 bed, 2 bath townhouse in 806 Smithstone Rd SE",17.7025381,15.02371801,19.14877616,1.016803672,Cobb
277 Montgomery St NE,33.960351,-84.54388,4,4.5,"3,146","$500,000 ","4 bed, 4.5 bath townhouse in 277 Montgomery St NE",18.93793416,14.3752605,26.03894074,0.763283819,Cobb
1713 Grist Mill Dr,33.974967,-84.4999,3,2.5,"1,332","$145,000 ","3 bed, 2.5 bath townhouse in 1713 Grist Mill Dr",19.57065138,19.06268765,23.75830072,0.809367216,Cobb
2905 Stonecreek Rd SE,33.882873,-84.532424,5,4,"3,644","$425,000 ","5 bed, 4 bath townhouse in 2905 Stonecreek Rd SE",16.14037808,14.03624907,20.55377699,1.033076497,Cobb
1064 Brackett Rd,34.026989,-84.51884,4,3.5,"2,061","$260,000 ","4 bed, 3.5 bath townhouse in 1064 Brackett Rd",21.58482681,23.51176309,28.78679876,0.657054319,Cobb
3243 Hembree Ct,34.027748,-84.444496,4,3,"2,366","$250,000 ","4 bed, 3 bath townhouse in 3243 Hembree Ct",19.23701243,22.00268242,24.65662771,0.71996533,Cobb
3055 Elan Way,33.950851,-84.463401,4,3,"2,755","$350,000 ","4 bed, 3 bath townhouse in 3055 Elan Way",18.19039971,16.62860537,19.56464239,0.963606165,Cobb
3118 Staglin Dr,33.896785,-84.64212,6,3.5,"4,225","$425,000 ","6 bed, 3.5 bath townhouse in 3118 Staglin Dr",24.64083844,25.5855643,31.76339351,0.646842504,Cobb
4653 Karls Gate Dr,33.985855,-84.415252,4,3.5,"3,789","$525,000 ","4 bed, 3.5 bath townhouse in 4653 Karls Gate Dr",18.48968357,18.16823537,19.66132999,0.866422107,Cobb
6178 Ashton Park Ct SW,33.8027,-84.584777,4,2.5,"2,100","$155,000 ","4 bed, 2.5 bath townhouse in 6178 Ashton Park Ct SW",18.77709937,20.75601948,22.68715307,0.978661935,Cobb
336 Campbell Hill St NW,33.960098,-84.552009,5,3.5,"2,763","$384,900 ","5 bed, 3.5 bath townhouse in 336 Campbell Hill St NW",19.42225533,12.98474713,26.6751606,0.746935305,Cobb
62 Yellowstone Dr,33.817364,-84.735748,3,2.5,"1,562","$147,900 ","3 bed, 2.5 bath townhouse in 62 Yellowstone Dr",37.4363477,37.77674744,39.65234507,0.51284938,Cobb
408 Freyer Dr NE,33.963302,-84.540092,2,1,"1,142","$269,900 ","2 bed, 1 bath townhouse in 408 Freyer Dr NE",19.51617466,15.32364431,25.92642648,0.764083917,Cobb
729 Albury Dr,33.860067,-84.591442,4,3,"1,887","$205,000 ","4 bed, 3 bath townhouse in 729 Albury Dr",21.20068461,15.78744964,25.24105678,0.844965552,Cobb
1161 Fords Lake Pl NW,33.981979,-84.728492,4,2.5,"2,738","$264,900 ","4 bed, 2.5 bath townhouse in 1161 Fords Lake Pl NW",34.68429193,38.43881675,43.77559252,0.45066043,Cobb
272 Windcroft Ln NW,34.072227,-84.653045,2,2,982,"$137,000 ","2 bed, 2 bath townhouse in 272 Windcroft Ln NW",33.20011232,34.91715368,41.73645335,0.461802064,Cobb
3346 Chastain Ridge Dr,34.034847,-84.532615,5,4,"2,983","$395,000 ","5 bed, 4 bath townhouse in 3346 Chastain Ridge Dr",21.79821588,24.51165714,30.26549811,0.627198884,Cobb
1663 Millhouse Lndg,34.056251,-84.491859,4,4.5,"3,640","$429,000 ","4 bed, 4.5 bath townhouse in 1663 Millhouse Lndg",20.36598156,25.37222124,29.41078949,0.6252855,Cobb
2134 Del Lago Cir NW,34.00074,-84.609504,2,2.5,"1,260","$130,000 ","2 bed, 2.5 bath townhouse in 2134 Del Lago Cir NW",26.27924261,20.46800835,33.85066998,0.581211579,Cobb
1175 Bowerie Chase,33.922508,-84.689202,7,5,"5,727","$549,900 ","7 bed, 5 bath townhouse in 1175 Bowerie Chase",29.71226725,32.04138954,37.47965241,0.537521776,Cobb
514 Lombard St,33.943533,-84.622314,5,5.5,"4,951","$425,000 ","5 bed, 5.5 bath townhouse in 514 Lombard St",25.53373176,23.45035195,31.89790717,0.633062255,Cobb
1727 Highlands Vw SE,33.825885,-84.505935,4,3.5,"2,691","$275,000 ","4 bed, 3.5 bath townhouse in 1727 Highlands Vw SE",16.98378401,12.86381921,15.21868408,1.546180911,Cobb
6001 Cobblestone Creek Trl,33.810215,-84.535508,3,2.5,"1,731","$225,000 ","3 bed, 2.5 bath townhouse in 6001 Cobblestone Creek Trl",18.87707058,15.98102114,17.5695792,1.336078181,Cobb
4127 Sweetsprings Ter SW,33.822298,-84.676589,4,3,"2,249","$179,500 ","4 bed, 3 bath townhouse in 4127 Sweetsprings Ter SW",29.47650291,30.49439173,33.21735516,0.625000684,Cobb
5020 Woodland Dr NW,34.007652,-84.627922,4,2,"1,722","$179,900 ","4 bed, 2 bath townhouse in 5020 Woodland Dr NW",26.73224668,24.11492913,35.81014701,0.548619537,Cobb
