Address,latitude,longtitude,bedrooms,Baths,Space,Price,Description,School Index,Hos Index,Market Index,Crime Index,County
1658 Hampton Oaks Bnd,34.037788,-84.504989,4,4.5,"4,646","$475,000 ","4 bed, 4.5 bath townhouse in 1658 Hampton Oaks Bnd",20.84448411,24.16908367,28.7284926,0.649968986,Cobb
2669 Brookwest Ln SW,33.917153,-84.633374,4,2.5,"1,921","$209,900 ","4 bed, 2.5 bath townhouse in 2669 Brookwest Ln SW",25.0338247,24.86869458,31.73208916,0.643137139,Cobb
2410 Cumberland Ct SE,33.874126,-84.477977,2,1,"1,208","$135,000 ","2 bed, 1 bath townhouse in 2410 Cumberland Ct SE",17.40630959,11.77777533,14.87324793,1.372134045,Cobb
511 White Oak Dr SW,33.881607,-84.568192,5,2,"1,868","$159,900 ","5 bed, 2 bath townhouse in 511 White Oak Dr SW",18.46788992,17.9880921,23.85230185,0.887582245,Cobb
2974 Windstone Cir,34.021556,-84.43177,7,6.5,"7,225","$1,250,000 ","7 bed, 6.5 bath townhouse in 2974 Windstone Cir",19.71796429,21.22733306,23.54325194,0.742678331,Cobb
156 Talking Leaves Ct,34.062335,-84.768165,5,3,"2,803","$292,900 ","5 bed, 3 bath townhouse in 156 Talking Leaves Ct",45.67378226,46.36640877,51.26058128,0.377686447,Cobb
2105 Chatou Pl NW,33.999652,-84.628067,5,3,"3,643","$247,000 ","5 bed, 3 bath townhouse in 2105 Chatou Pl NW",25.41839981,22.15311853,35.36945782,0.557184708,Cobb
5228 Stone Village Cir NW,33.994354,-84.702781,3,2,"1,712","$265,900 ","3 bed, 2 bath townhouse in 5228 Stone Village Cir NW",31.62273557,35.6545594,41.86855669,0.470719501,Cobb
5494 Highland Preserve Dr,33.81953,-84.524269,5,4.5,"4,340","$510,000 ","5 bed, 4.5 bath townhouse in 5494 Highland Preserve Dr",18.15599161,14.41629035,16.78436076,1.397409925,Cobb
550 E New Salem Cmn NW,33.964522,-84.597077,6,7,"8,460","$1,199,000 ","6 bed, 7 bath townhouse in 550 E New Salem Cmn NW",24.40037782,20.93558568,30.72294848,0.650852035,Cobb
